,id,url,title,parkCode,abstract,image,relatedParks,relatedOrganizations,latitude,longitude,geometryPoiId,releaseDate,credit,lastIndexedDate
10,266CC879-3B5A-4798-A4D4-A6BCC3A973B8,https://www.nps.gov/hosp/learn/news/happy-hollow-to-undergo-maintenance.htm,Cold Water Jug Fountain at Hot Springs National Park to Temporarily Shut Down for Maintenance,hosp,"Beginning Monday, September 12 and continuing through Wednesday, September 14, the cold spring water jug fountain located on Fountain Street will be temporarily out of service for maintenance upgrades.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'AR', 'parkCode': 'hosp', 'designation': 'National Park', 'fullName': 'Hot Springs National Park', 'url': 'https://www.nps.gov/hosp/index.htm', 'name': 'Hot Springs'}]",[],,,,2022-09-08 08:24:00.0,,2022-09-08 09:25:56.0
11,69E21534-91A9-442F-B365-FF58DF9C84EA,https://www.nps.gov/cebe/learn/news/cebe-fac-meeting-2022-09.htm,Park Federal Advisory Commission Meets on September 15,cebe,"The next meeting of the Cedar Creek and Belle Grove National Historical Park Advisory Commission will be on Thursday, September 15, 2022, from 9 to 11 a.m. The committee will meet at Town Hall, 174 East King Street in Strasburg, Virginia.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'VA', 'parkCode': 'cebe', 'designation': 'National Historical Park', 'fullName': 'Cedar Creek & Belle Grove National Historical Park', 'url': 'https://www.nps.gov/cebe/index.htm', 'name': 'Cedar Creek & Belle Grove'}]",[],,,105efa8d-3d30-457d-a01c-5787a9025695,2022-09-08 08:00:00.0,,2022-09-08 10:06:53.0
12,30E65CFD-7FE9-4956-920E-0AD765F325C3,https://www.nps.gov/kefj/learn/news/bear-glacier-glacial-lake-outburst-flood-9-7-22.htm,Bear Glacier: Glacial Lake Outburst Flood,kefj,"Flood conditions are expected in the lagoon at the terminus of Bear Glacier. Based on photographs from a remote camera and observations by a local flight seeing company, it appears that an ice-dammed lake located 7 mi above the terminus of Bear Glacier began draining around September 6, 2022.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'AK', 'parkCode': 'kefj', 'designation': 'National Park', 'fullName': 'Kenai Fjords National Park', 'url': 'https://www.nps.gov/kefj/index.htm', 'name': 'Kenai Fjords'}]",[],,,,2022-09-07 16:28:00.0,,2022-09-07 20:32:39.0
13,0C499D47-95A0-4DBE-9C80-7284DB8ACDDA,https://www.nps.gov/spar/learn/news/naturalization-ceremony-at-springfield-armory.htm,200 Citizenship candidates to take Oath of Allegiance,spar,"SPRINGFIELD, Mass. – U.S. Citizenship and Immigration Services (USCIS), will hold a naturalization ceremony at Springfield Armory National Historic Site, One Armory Square, at 11:00 am on Thursday, September 15, 2022.  U.S. District Judge Katherine A. Robertson will preside and the Clerk of the Court will administer the Oath of Allegiance to 200 new citizens representing 72 nationalities, and 64 Massachusetts municipalities.","{'url': 'https://www.nps.gov/spar/learn/news/images/Naturalization-Ceremony-Springfield-Armory.jpg', 'credit': 'NPS', 'altText': 'Two smiling people wave miniature American flags. One person is waving.', 'title': 'Naturalization Ceremony Springfield Armory', 'description': '', 'caption': 'Welcome!'}","[{'states': 'MA', 'parkCode': 'spar', 'designation': 'National Historic Site', 'fullName': 'Springfield Armory National Historic Site', 'url': 'https://www.nps.gov/spar/index.htm', 'name': 'Springfield Armory'}]",[],,,,2022-09-07 16:06:00.0,,2022-09-07 16:24:27.0
14,319F6C2D-0785-4E69-B7CA-B778A50EE497,https://www.nps.gov/blca/learn/news/black-canyon-astronomy-festival-september-22-through-24-2022.htm,"Black Canyon Astronomy Festival September 22 through 24, 2022",blca,"Come celebrate the starry night skies of Black Canyon of the Gunnison National Park (Black Canyon). The park’s annual astronomy festival, known as AstroFest, will take place Thursday, September 22 through Saturday, September 24.","{'url': 'https://www.nps.gov/blca/learn/news/images/ty-karlovetz.jpg', 'credit': 'NPS/Ty Karlovetz', 'altText': 'looking past a silhouetted pinyon pine at the Milky Galaxy filling the night sky.', 'title': 'Come celebrate the starry night skies of Black Canyon of the Gunnison National Park (Black Canyon). The park’s annual astronomy festival, known as AstroFest, will take place Thursday, September 22 through Saturday, September 24.', 'description': '', 'caption': ""The park's annual astronomy festival, known as AstroFest, will take place Thursday, September 22 through Saturday, September 24.""}","[{'states': 'CO', 'parkCode': 'blca', 'designation': 'National Park', 'fullName': 'Black Canyon Of The Gunnison National Park', 'url': 'https://www.nps.gov/blca/index.htm', 'name': 'Black Canyon Of The Gunnison'}]",[],,,,2022-09-07 14:40:00.0,,2022-09-07 21:48:13.0
15,8E31AB3F-7E37-45BA-A0A4-BA31F158B7A2,https://www.nps.gov/yose/learn/news/yosemite-fire-update-for-september-7-2022.htm,"Yosemite Fire Update for September 7, 2022",yose,"There are now multiple active wildfires in Yosemite National Park. A Type 2 Incident Management Team, CA Interagency Incident Management Team 10, has arrived in Yosemite to assist with a potential increase in initial attack, logistical needs, and operations of these fires. Firefighter and public safety continue to be one of our main priorities. ","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'CA', 'parkCode': 'yose', 'designation': 'National Park', 'fullName': 'Yosemite National Park', 'url': 'https://www.nps.gov/yose/index.htm', 'name': 'Yosemite'}]",[],,,,2022-09-07 14:07:00.0,,2022-09-07 17:07:35.0
16,F030CAB1-8060-46CD-834F-D1E77F9FAB90,https://www.nps.gov/natr/learn/news/2022-09-07-labor-day-checkpoints.htm,Traffic safety checkpoints stop impaired drivers over Labor Day,natr,"In an effort to make Labor Day weekend safer for national park visitors, Natchez Trace Parkway rangers and other local law enforcement agencies conducted a series of traffic safety checkpoints over the weekend. The checkpoints resulted in ten arrests for impaired driving.","{'url': 'https://www.nps.gov/natr/learn/news/images/IMG_63362.jpg', 'credit': 'NPS Photo', 'altText': 'White car is stopped on a tree-lined road where Park Rangers approach for traffic safety checkpoint', 'title': '2022 Labor Day Traffic Safety Checkpoint', 'description': '', 'caption': 'Natchez Trace Parkway conducted traffic safety checkpoints over Labor Day weekend.'}","[{'states': 'AL,MS,TN', 'parkCode': 'natr', 'designation': 'Parkway', 'fullName': 'Natchez Trace Parkway', 'url': 'https://www.nps.gov/natr/index.htm', 'name': 'Natchez Trace'}]",[],,,,2022-09-07 13:36:00.0,,2022-09-08 09:35:17.0
17,AC641432-C3B5-43C3-BBE8-0BE8B63E2386,https://www.nps.gov/indu/learn/news/50-events-during-this-weekend-s-indiana-dunes-festival.htm,Chellberg Fun just One of 50 Events during this Weekend’s Indiana Dunes Festival,indu,"Spend this weekend in nature, or history, at the Indiana Dunes Outdoor Adventure Festival. Hike, kayak, bike, or learn about geo-caching, photography, birding, and more.","{'url': 'https://www.nps.gov/indu/learn/news/images/OAF-Banner-Web-2022_2.jpg', 'credit': '', 'altText': 'Outdoor Adventure Festival Banner 2022', 'title': 'Outdoor Adventure Festival Banner 2022', 'description': '', 'caption': ''}","[{'states': 'IN', 'parkCode': 'indu', 'designation': 'National Park', 'fullName': 'Indiana Dunes National Park', 'url': 'https://www.nps.gov/indu/index.htm', 'name': 'Indiana Dunes'}]",[],,,,2022-09-07 12:12:00.0,,2022-09-07 14:21:34.0
18,32A17198-09BF-4EDB-A8D2-D71299084405,https://www.nps.gov/mora/learn/news/september-7-2022-cloud-formation-over-mount-rainier.htm,"September 7, 2022 Cloud Formation NOT a New Vent On Mount Rainier",mora,"This morning, September 7, people in the greater Seattle metro area saw what appeared to be venting on the mountain, a video of which was then shared on social media.  A new vent has NOT opened on the volcano. ","{'url': 'https://www.nps.gov/mora/learn/news/images/schurman.jpg', 'credit': '', 'altText': 'An icy mount slope with a cloud formation above.', 'title': 'Camp Schurman webcam photo taken 9/7/2022, 11', 'description': '', 'caption': ''}","[{'states': 'WA', 'parkCode': 'mora', 'designation': 'National Park', 'fullName': 'Mount Rainier National Park', 'url': 'https://www.nps.gov/mora/index.htm', 'name': 'Mount Rainier'}]",[],,,,2022-09-07 12:01:00.0,,2022-09-07 15:14:32.0
19,69389BD5-CD9E-4CDD-8834-AA95A594C428,https://www.nps.gov/gumo/learn/news/guadalupe-mountains-national-park-to-begin-accepting-wilderness-camping-reservations.htm,Guadalupe Mountains National Park To Begin Accepting Wilderness Camping Reservations,gumo,"Beginning September 30, 2022, visitors will be able to book reservations in advance, for the park’s ten hike-in wilderness campgrounds online at https://www.recreation.gov/permits/4675328","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'TX', 'parkCode': 'gumo', 'designation': 'National Park', 'fullName': 'Guadalupe Mountains National Park', 'url': 'https://www.nps.gov/gumo/index.htm', 'name': 'Guadalupe Mountains'}]",[],,,,2022-09-07 11:56:00.0,,2022-09-07 14:22:05.0
